film,year,wikipedia_url,original_budget,budget_usd
Ben-Hur,1959.0,http://en.wikipedia.org/wiki/Ben-Hur_(1959_film),$15.2 million [ 3 ] [ 4 ],15200000
Lawrence of Arabia,1962.0,http://en.wikipedia.org/wiki/Lawrence_of_Arabia_(film),$15 million [ 3 ],15000000
My Fair Lady,1964.0,http://en.wikipedia.org/wiki/My_Fair_Lady_(film),$17 million [ 1 ],17000000
The Deer Hunter,1978.0,http://en.wikipedia.org/wiki/The_Deer_Hunter,$15 million [ 2 ],15000000
Gandhi,1982.0,http://en.wikipedia.org/wiki/Gandhi_(film),$22 million [ 3 ],22000000
Amadeus,1984.0,http://en.wikipedia.org/wiki/Amadeus_(film),$18 million [ 2 ],18000000
Out of Africa,1985.0,http://en.wikipedia.org/wiki/Out_of_Africa_(film),$28 million [ 1 ],28000000
The Last Emperor [O],1987.0,http://en.wikipedia.org/wiki/The_Last_Emperor,$23.8 million [ 1 ],23800000
Rain Man,1988.0,http://en.wikipedia.org/wiki/Rain_Man,$25 million [ 1 ],25000000
Dances with Wolves,1990.0,http://en.wikipedia.org/wiki/Dances_with_Wolves,$22 million [ 2 ],22000000
The Silence of the Lambs,1991.0,http://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film),$19 million [ 2 ],19000000
Schindler's List,1993.0,http://en.wikipedia.org/wiki/Schindler%27s_List,$22 million [ 2 ],22000000
Forrest Gump,1994.0,http://en.wikipedia.org/wiki/Forrest_Gump,$55 million [ 1 ],55000000
Braveheart,1995.0,http://en.wikipedia.org/wiki/Braveheart,$72 million [ 2 ],72000000
The English Patient,1996.0,http://en.wikipedia.org/wiki/The_English_Patient_(film),$27 million [ 2 ],27000000
Titanic,1997.0,http://en.wikipedia.org/wiki/Titanic_(1997_film),$200 million [ 3 ] [ 4 ] [ 5 ],200000000
Shakespeare in Love,1998.0,http://en.wikipedia.org/wiki/Shakespeare_in_Love,$25 million [ 2 ],25000000
American Beauty,1999.0,http://en.wikipedia.org/wiki/American_Beauty_(1999_film),$15 million [ 2 ],15000000
Gladiator,2000.0,http://en.wikipedia.org/wiki/Gladiator_(2000_film),$103 million [ 6 ] [ 7 ],103000000
A Beautiful Mind,2001.0,http://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),$58 million [ 1 ],58000000
Chicago,2002.0,http://en.wikipedia.org/wiki/Chicago_(2002_film),$45 million [ 2 ],45000000
The Lord of the Rings: The Return of the King,2003.0,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,$94 million [ 5 ],94000000
Million Dollar Baby,2004.0,http://en.wikipedia.org/wiki/Million_Dollar_Baby,$30 million [ 1 ] [ 2 ],30000000
The Departed,2006.0,http://en.wikipedia.org/wiki/The_Departed,$90 million [ 1 ],90000000
No Country for Old Men,2007.0,http://en.wikipedia.org/wiki/No_Country_for_Old_Men_(film),$25 million,25000000
Slumdog Millionaire [O],2008.0,http://en.wikipedia.org/wiki/Slumdog_Millionaire,$15 million [ 4 ],15000000
The Hurt Locker,2008.0,http://en.wikipedia.org/wiki/The_Hurt_Locker,$15 million [ 1 ],15000000
The King's Speech,2010.0,http://en.wikipedia.org/wiki/The_King%27s_Speech,$15 million [ 3 ],15000000
The Artist,2011.0,http://en.wikipedia.org/wiki/The_Artist_(film),$15 million,15000000
Argo,2012.0,http://en.wikipedia.org/wiki/Argo_(2012_film),$44.5 million [ 2 ],44500000
12 Years a Slave,2013.0,http://en.wikipedia.org/wiki/12_Years_a_Slave_(film),$22 million [ 2 ],22000000
Birdman or (The Unexpected Virtue of Ignorance),2014.0,http://en.wikipedia.org/wiki/Birdman_(film),$16.5-18 million [ 2 ] [ 3 ],18000000
